Time,pixels_from_encoder,pixels_from_cv2
22.3268239,[[[553 531]]],"(724, 525)"
22.3715834,[[[531 527]]],"(720, 525)"
22.4106826,[[[510 523]]],"(715, 525)"
22.4564671,[[[493 520]]],"(710, 525)"
22.4957251,[[[480 516]]],"(703, 536)"
22.5441068,[[[469 514]]],"(671, 538)"
22.5850668,[[[464 512]]],"(664, 540)"
22.6276524,[[[460 511]]],"(657, 539)"
22.6688692,[[[460 511]]],"(652, 540)"
22.7153218,[[[463 512]]],"(649, 540)"
22.759665,[[[470 514]]],"(645, 540)"
22.8059053,[[[483 517]]],"(643, 540)"
22.8463757,[[[499 521]]],"(641, 540)"
22.8905397,[[[517 525]]],"(641, 540)"
22.9298793,[[[539 528]]],"(641, 540)"
22.9786818,[[[566 532]]],"(653, 540)"
23.0233223,[[[589 534]]],"(658, 540)"
23.0626654,[[[612 536]]],"(665, 539)"
23.109333,[[[635 537]]],"(672, 539)"
23.1469072,[[[648 537]]],"(680, 538)"
23.1906021,[[[660 537]]],"(688, 538)"
23.2357595,[[[668 536]]],"(696, 538)"
23.2777147,[[[671 536]]],"(704, 536)"
23.3223924,[[[670 536]]],"(712, 535)"
23.3648018,[[[665 536]]],"(719, 534)"
23.4109993,[[[656 537]]],"(732, 525)"
23.4530686,[[[648 537]]],"(733, 524)"
23.4956737,[[[638 537]]],"(733, 525)"
23.5517649,[[[629 537]]],"(732, 525)"
23.5921224,[[[622 536]]],"(730, 525)"
23.6429423,[[[614 536]]],"(727, 525)"
23.6878683,[[[610 536]]],"(725, 525)"
23.7288804,[[[608 536]]],"(722, 525)"
23.7739887,[[[609 536]]],"(712, 525)"
23.8123041,[[[613 536]]],"(710, 525)"
23.8566157,[[[620 537]]],"(708, 525)"
23.9024408,[[[631 537]]],"(708, 526)"
23.9424786,[[[632 537]]],"(708, 526)"
23.9773189,[[[634 537]]],"(709, 526)"
24.0249364,[[[639 537]]],"(710, 525)"
24.0640095,[[[644 537]]],"(712, 525)"
24.1089174,[[[646 537]]],"(715, 525)"
24.1529139,[[[648 537]]],"(717, 525)"
24.194039,[[[648 537]]],"(717, 525)"
24.2369737,[[[646 537]]],"(723, 525)"
24.2885408,[[[645 537]]],"(723, 525)"
24.3441675,[[[643 537]]],"(724, 525)"
24.3844823,[[[643 537]]],"(724, 525)"
24.4267683,[[[643 537]]],"(724, 525)"
24.4720892,[[[643 537]]],"(724, 525)"
24.5176012,[[[644 537]]],"(723, 525)"
24.5620697,[[[645 537]]],"(723, 525)"
24.6040776,[[[644 537]]],"(722, 525)"
24.6457133,[[[644 537]]],"(722, 525)"
24.6895866,[[[645 537]]],"(722, 525)"
24.7313459,[[[644 537]]],"(722, 525)"
24.7739306,[[[644 537]]],"(723, 525)"
24.8112779,[[[644 537]]],"(723, 525)"
24.8560035,[[[644 537]]],"(723, 525)"
24.895139,[[[644 537]]],"(723, 525)"
24.9380893,[[[644 537]]],"(722, 525)"
24.9830502,[[[645 537]]],"(722, 525)"
25.0246235,[[[645 537]]],"(722, 525)"
25.063956,[[[645 537]]],"(722, 525)"
25.1085293,[[[645 537]]],"(722, 525)"
25.1447881,[[[644 537]]],"(723, 525)"
25.1878403,[[[644 537]]],"(723, 525)"
25.2261564,[[[644 537]]],"(722, 525)"
25.270598,[[[644 537]]],"(723, 525)"
25.3159253,[[[644 537]]],"(723, 525)"
25.3556784,[[[644 537]]],"(722, 525)"
25.3957532,[[[645 537]]],"(722, 525)"
25.4459404,[[[645 537]]],"(722, 525)"
25.4868447,[[[645 537]]],"(722, 525)"
25.5336379,[[[645 537]]],"(722, 525)"
25.5772881,[[[644 537]]],"(723, 525)"
25.6225882,[[[644 537]]],"(723, 525)"
25.6604205,[[[644 537]]],"(722, 525)"
25.7092345,[[[644 537]]],"(723, 525)"
25.74536,[[[645 537]]],"(723, 525)"
25.7888506,[[[645 537]]],"(722, 525)"
